"cui","sab","code"
C0010813,GO,GO:0000910
C0010834,GO,GO:0005737
C0010839,GO,GO:0099636
C0010853,GO,GO:0005856
C0010930,HPO,HP:0000620
C0010964,HPO,HP:0001305
C0010985,GO,GO:1990603
C0011053,HPO,HP:0000365
C0011065,GO,GO:0016265
C0011071,HPO,HP:0001699
C0011103,HPO,HP:0025013
C0011107,GO,GO:0046697
C0011124,HPO,HP:0046504
C0011127,HPO,HP:0012399
C0011135,GO,GO:0030421
C0011168,HPO,HP:0002015
C0011175,HPO,HP:0001944
C0011194,HPO,HP:0012005
C0011206,HPO,HP:0031258
C0011253,HPO,HP:0000746
C0011305,GO,GO:0030425
C0011320,HPO,HP:0011088
C0011334,HPO,HP:0000670
C0011351,HPO,HP:0006297
C0011430,HPO,HP:0011060
C0011435,GO,GO:0097187
C0011436,HPO,HP:0000703
C0011581,HPO,HP:0000716
C0011603,HPO,HP:0011123
C0011606,HPO,HP:0001019
C0011615,HPO,HP:0001047
C0011616,HPO,HP:0032282
C0011644,HPO,HP:0100324
C0011649,HPO,HP:0025247
C0011703,GO,GO:0030057
C0011813,HPO,HP:0001651
C0011818,HPO,HP:0002623
C0011848,HPO,HP:0000873
C0011849,HPO,HP:0000819
C0011854,HPO,HP:0100651
C0011860,HPO,HP:0005978
C0011880,HPO,HP:0001953
C0011981,HPO,HP:0009110
C0011991,HPO,HP:0002014
C0011998,HPO,HP:0000699
C0012154,GO,GO:0060207
C0012238,GO,GO:0007586
C0012242,HPO,HP:0011024
C0012569,HPO,HP:0000651
C0012691,HPO,HP:0001373
C0012736,HPO,HP:0002622
C0012739,HPO,HP:0005521
C0012746,HPO,HP:0032940
C0012767,HPO,HP:0006292
C0012797,GO,GO:0035810
C0012811,HPO,HP:0002253
C0012819,HPO,HP:0002253
C0012833,HPO,HP:0002321
C0012899,GO,GO:0006281
C0013057,GO,GO:0007549
C0013069,HPO,HP:0001719
C0013124,GO,GO:0042756
C0013132,HPO,HP:0002307
C0013132,HPO,HP:0003781
C0013144,HPO,HP:0002329
C0013182,HPO,HP:0410323
C0013203,GO,GO:0009315
C0013203,GO,GO:0042493
C0013203,HPO,HP:0020174
C0013238,HPO,HP:0001097
C0013261,HPO,HP:0009921
C0013274,HPO,HP:0001643
C0013295,HPO,HP:0002588
